.	학과	강좌번호	강좌이름	학점수	강좌설명	
O	전산학과	A000	전산학	3	전산학에 대한 강좌이다.	
O	전산학과	A001	전산수학	4	전산수학에 대한 강좌이다.	
X	전산학과	A002	논리적사유와 글쓰기	4	논리적사유와 글쓰기에 대한 강좌이다.	
O	전산학과	A003	철학과 역사이야기	4	철학과 역사이야기에 대한 강좌이다.	
X	전산학과	A004	전산통계	4	전산통계에 대한 강좌이다.	
X	전자공학과	B000	전자학개론	3	전자학개론에 대한 강좌이다.	
X	전자공학과	B001	수치해석학	4	수치해석학에 대한 강좌이다.	
X	전자공학과	B002	전자회로	4	전자회로에 대한 강좌이다.	
X	전자공학과	B003	전자실험1	4	전자실험1에 대한 강좌이다.	
X	전자공학과	B004	전자실험2	4	전자실험2에 대한 강좌이다.	
X	화학공학과	C000	화학실험1	3	화학실험1에 대한 강좌이다.	
X	화학공학과	C001	화학실험2	4	화학실험2에 대한 강좌이다.	
X	화학공학과	C002	화학성분학	4	화학성분학에 대한 강좌이다.	
X	화학공학과	C003	분자의 세계	4	분자의 세계에 대한 강좌이다.	
X	화학공학과	C004	미적분	4	미적분에 대한 강좌이다.	
X	기계공학과	D000	로봇의 이해	3	로봇의 이해에 대한 강좌이다.	
X	기계공학과	D001	기계역학	4	기계역학에 대한 강좌이다.	
X	기계공학과	D002	유체역학	4	유체역학에 대한 강좌이다.	
X	기계공학과	D003	기계와 통신	4	기계와 통신에 대한 강좌이다.	
X	기계공학과	D004	공학물리학	4	공학물리학에 대한 강좌이다.	
O	항공우주공학과	E000	공학물리학	3	공학물리학에 대한 강좌이다.	
O	항공우주공학과	E001	지구과학1	4	지구과학1에 대한 강좌이다.	
X	항공우주공학과	E002	우주의 신비	4	우주의 신비에 대한 강좌이다.	
O	항공우주공학과	E003	지도교수 세미나	4	지도교수 세미나에 대한 강좌이다.	
X	항공우주공학과	E004	항공역학	4	항공역학에 대한 강좌이다.	
